,Unnamed: 0,artist,lyrics,tag,title,x_coordinate,y_coordinate,year
183,184,Ojmosfhgry,"[Chorus]
Wife bad
Phone bad
Wife bad
Phone bad
Wife bad
Phone bad
Wife bad
Phone bad

[Verse 1]
All these mumble rappers, I ain't gotta crumble cappers
Looking at Gen Z like; ""where your manners?""
And they looking at me like ''I can't zoom this book""
And they ain't got a job, I wanna bloom a cook
Took 'em long enough, told 'em I wanted a ""vroom""
But all they wanted to do was listen to MF Doom
I mean, they just too lazy
I mean, they just too crazy
I mean, where's the daisy?
I ain't gonna have no more babies
I already learned my lesson with these ladies
[Chorus]
Wife bad
Phone bad
Wife bad
Phone bad
Wife bad
Phone bad
Wife bad
Phone bad
Wife bad
Phone bad
Wife bad
Phone bad
Wif-

[Verse 2]
I ain't need no character, better not mess my terrace up
Error and terror, man you bastards better watch out
Sharer and bearer, bad news, channel cruise
Better not be a beggar, ever
Look in the mirror so everything just gets a little bit clearer
Never quittin', this shit stellar, no condition
Always clever, this my era, send ya a letter
It ain't even my native language, but my English better than yours
In this state of anguish, better get her with the roars
All this shit I manage to keep up
And I just never give up
My vantage, with a sandwich, y'all should vanish
Languish, they ain't even here
All my opponents look like they were beaten clean
And I just beat 'em, clear?
[Outro]
Spicy
Nah, that's spicy
Yeah, I didn't stop recording
Whatever, I don't really care
Oh wait, I [inaudible] the other things
Aww, shit
Yeah, I forgot
I'm talking to myself, yes, I am",rap,Boomer Humor,-0.5,0.6,2019
187,188,Aaron Fraser-Nash,"Hello kiddies!
My name is Ozzie!
And guess what?
I’m a mother f***ing ostrich!

Oh, let’s go
Welcome to the Willy show
First act, is to
Introduce

Hey ho, it’s O.O
See our band we got flow
But don’t, you go
Backstage, cus we spilled juice

It’s red and it covers the floor whoopsie do
The cleaners that come seem to add to the goo
The bodies in the back? Don’t look at that silly goose
Just look into my eyes and then watch my moves

Head butt I drop you to the floor
Beak bite and my scratching claws
You’ll have no where left to go
My wings and my feathers smother you
I peck till you break in two
You could say I’m cuckoo

But all I ever wanted was to feast on your face
Don’t you tease me with that little taste
Oh oh oh oh oh
The deal that we made, with the devil it states
Forever to eat in this place

Oh, let’s go
Welcome to the big show
First act, is to
Feast on your face

Oh no, he’s no
Normal human, average joe
All I really wanna do
Is feast on your face

Give him all I got but this cleaners too strong
If I had arms this would not be a problem
But instead I peck got a neck that’s so long
My reach is impeccable but he’s Tyson

Beak to the face he just gazes at me
Maybe I should leave he looks a bit angry
Holy mother of f*** he’s a ferocious beast
Willy? Arty? Help? Anybody?!
Head butt I drop you to the floor
Beak bite and my scratching claws
You’ll have nowhere left to go

My wings and my feathers smother you
I peck till you break in two
You could say I’m cuckoo

But all I ever wanted was to feast on your face
Don’t you tease me with that little taste
Oh oh oh oh oh
The deal that we made, with the devil it states
Forever to eat in this place

I can’t believe we all got outplayed by a janitor
I literally had him one shot
I saw siren sara moving I think she got out
Maybe she could put us all back together again
Hmm? Sara?

Head butt I drop you to the floor
Beak bite and my scratching claws
You’ll have no where left to go

My wings and my feathers smother you
I peck till you break in two
You could say I’m cuckoo
But all I ever wanted was to feast on your face
Don’t you tease me with that little taste
Oh oh oh oh oh
The deal that we made, with the devil it states
Forever to eat in this place",rap,Ozzie Ostrich Sings A Song,-0.6,0.7,2021
190,191,Innoss'B,"[Intro]
Ooooh Innoss'Big Afrika
Ooooh!

[Verse 1]
My name is Afrika and I hate this trouble
I'm so beautiful and i love this music
If you understand me I don't really wanna talk too much
But you already know about is
All eyes on me, everybody know me, need me
Cuz I got what they want
I'm special and I know it you know it they know it cuz
If you wanna talk about music I gotcha baby
Now what more can I say

[Pre-Hook]
From the east side to the west side
Things are getting better and better and that day by day

[Hook]
Ooooh Afrika break it down
Ooooh it's our time to shine
Ooooh we ain't gon stop it now
Ooooh it's time for Afrika
[Verse 2]
You better get ready for this one
I'm so me tha'ts whey they need me
Money, honey in me make people wanna meet me
I'm so proud of me cuz I'm humble
Mambo poa kwetu twasema Jambo
Something ain't right
How can one person have many things like me
I'm so rich naturally
I welcome them kindly
But I want them to get in my house slowly
I keep my composure cuz troubles ain't welcome in my heart

[Pre-Hook]
From the east side to the west side
Things are getting better and better and that day by day

[Hook]
Ooooh Afrika break it down
Ooooh it's our time to shine
Ooooh we ain't gon stop it now
Ooooh it's time for Afrika

[Outro]
Ooooh DRC you see Innoss'B man
Ooooh Central Afrika
Ooooh West Afrika
Ooooh North Afrika
Ooooh South Afrika
Ooooh Big Afrika
Ooooh Big AfriKa iye iye
[Pre-Hook]
From the east side to the west side
Things are getting better and better and that day by day

[Hook]
Ooooh Afrika break it down
Ooooh it's our time to shine
Ooooh we ain't gon stop it now
Ooooh it's time for Afrika",rap,Big Afrika,0.8,0.7,2013
191,192,Dizraeli,"Madness and fever
Things are different now
I will not be what I was before Thursday
Men are shouting ""go home"" to girls born in Burnley
And monsters are beeping in the trees
(Timothy is everywhere)
Timothy is—",rap,Fever Timothy Is Everywhere,-0.4,0.7,2019
195,196,BabyLee,"He wants that Dolce & Gabbana, with that Gucci & cubanos
He writes that song shit bout the cocaine, Havana
Wanna be a criminal, talk bout dope shit & Hannah
I'm ridin' with myself, like no coach & no ammos, wait
They found dead beats, they took me as the killer
Music escort, I'm the pimp despite me cause I sell her
I took the instrumental as a chick, let me tell her
I don't need no beats, I can even do that acapella, ugh !
Gettin' green paper, I can tell I roll it up, (no)
Haters flyin'/fallin', nigga, cause I throw it up
Life is a house, throwin' haters by the window
I want my money purp as Lakers, yellow as a Lambo, yeah
Flyin' in the sky screamin' ""XXO haters""
Lot of people talkin' but don't act, say so
What else ? I'm runnin' shit, Nespresso
Everybody knows that baby style exceptionnal
Apparently, it's everybody except y'all
Got that money so in love, she stayin' next that flow
I have a big problem, I'm talkin' fast but I'm never thinkin'...
So I call myself the Express Soul !
""Man, look at this baby and the way he takes that slowly
Gettin' bread money like he bakes that, shawty !""
Life a card game ? Shit ! I'm not playin' blackjack
Got everybody claping in the front, huh... snapback !
I'm fed up of myself, I'm so powerful and so young
Haters so late, they go tired, fool, and so dumb
Boom, ha, headshot, on that instrumental body
I can't tell I understand your jealousy, I never got it !
""That baby faster than that new Buggati
The goal is to win, he lookin' like the New don't forgot it""
If my flow a customer, than my pocket a consumer
Second name is Cassidy, ""that baby so hustla !""
To tell you the truth, I don't even know what does it mean exactly
Cause I'm French by the blood, French by the mind
But you know I'm fresh by the life, fresh by the style
All that niggas hatin', I was born fresh by the rhyme !
Goon, shootin' instrumentals, keep their bodies in a secret room
My flow fast, all you're hearin' from my mouth is just that ""Vroom!""
And be ready for the landing, huh, cause it's coming soon
And I make you go stupid, you can call me Grizzly, boom...
Yeah I do iiiiit",rap,Triumphal Arch,0.7,0.9,2013
196,197,Stevie Stone,"[Intro/Bridge: Krizz Kaliko]
Ok fellas this is it
We got together to play our kind of music and so far nobody's let us
Well we're going to play it tonight whether they like it or not
We're going to do all our good numbers tonight, every single one of them
We'll start with 1 O'Clock Jump

[Hook]
Ballin'
Talk is cheap, the bodies start to fall in
Rumors rappers are leanin on the wall again
Going all in, watch me put the pause in
What your man got, dawgs out there banging like Bangkok
Smoke clears we leaving off the main lot
Time's up, when the bass drop

[Verse 1: Stevie Stone]
You don’t hear me though
See your little bitter comments on the videos
Your peers and your ears bumping my material
See me, yo I’m the shit just in general, what [?]
They’d shoot me, I’m made you look
Never lying, landmine in my ramble
Crunch time on the grind got the line hooked
Fat dime think I’m lying got them all shook
You ain’t all that, 150 shows a year what you call that
Couple bad bitches groping on my ballsack
Fuck a fiend that could, pussy sipping cognac, haters fall back
1 O’Clock I’m getting the dope spot
The person with the pack raising the cap to smoke guap
Fiends is steady coming, the money it won’t stop
[Bridge]
We got together to play our kind of music and so far nobody's let us
Well we're going to play it tonight whether they like it or not
We're going to do all our good numbers tonight, every single one of them
We'll start with 1 O'Clock Jump

[Hook]

[Verse 2: Jarren Benton]
ATLien extraterrestrial
I'm in this bitch like I don't give a fuck, I've got an extra pair of testicles
I fuck your bitch then fall asleep on the couch with my draws and the tv on
That afternoon I killed you first, then cut up the corpse with Stevie Stone
Life in the jungle wasn't shit that my mama could teach
Should've used a coat hangar to kill me when I was a fetus
Go eat a Snickers cause you rappers just bitches and beavers
Fucking cupcakes, faggots with feminine features
I never trust women and reachers
I'm not a human being, I'm a different creature
I love ratchet bitches, belligerent skeezers
After I beat the pussy up then we getting some pizza
I'm pimpin' bitches with telekinesis
After your mom give me a blumpkin I'm nailing your nieces
Fuck your thoughts, to hell with your thesis
After we take the organs out then we mail them to Jesus
[Bridge]

[Hook]x2

We're going to do all our good numbers tonight, every single one of them
We'll start with 1 O'Clock Jump",rap,1 OClock Jump,-0.6,0.6,2013
198,199,Doestax,"Driving that nice shit
My product is priceless
Her pussy's the tightest
She calls me your highness
Gas is the finest
We drip in designer
The opps wanna line us
But they cannot find us
Driving that nice shit
My product is priceless
Her pussy's the tightest
She calls me your highness
Gas is the finest
We drip in designer
The opps wanna line us
But they cannot find us

Uh uh I'm the hottest rapper in the land uh
All these niggas be playin uh
I don't understand what they be sayin no uh
I get dough, I'm taking my flow on the road
All of these bitches be hoes
Guess that's just the way it goes uh
All these niggas hatin I don't care though
Most these niggas fake and they be weirdos
Running up bands that's the plan though
You know I pull strings like a banjo
Yea all of these niggas be fakin
And all of these niggas be hatin
Don't give a damn
I go and get to them bands
I go and get to them grands
Oh that's yo bitch uh, I'm like aw man
Wasn't even in the plan
But she get ran, yup she gettin rammed
It's like she plays for the Rams uh
Driving that nice shit
My product is priceless
Her pussy's the tightest
She calls me your highness
Gas is the finest
We drip in designer
The opps wanna line us
But they cannot find us
Driving that nice shit
My product is priceless
Her pussy's the tightest
She calls me your highness
Gas is the finest
We drip in designer
The opps wanna line us
But they cannot find us
Whoa whoa yea yea

Go go gadget go get it I
These fuck niggas wanna get rid of my uh
Shit on these niggas no friends of mine
My whip still sitting on 6 nigga uh hold up
Cuz I gotta bag bag
These niggas mad mad
Whoa whoa yea yea
Soon as I jump off the porch hit a nigga with the force uh
Soon as he jump off the porch hit a nigga with the torch yea
I fucked ya hoe on a porch, I fucked ya hoe in a Porsche yea
Lamborghini on the doors
On a set of 24s
I, get paid, be like rubber band rubber band rubber band
Stole that bitch from another man
Did the running man running man running man
Uh, fuck on yo bitch because that's what she wanted
I said my piece now it's back to the dungeon
Driving that nice shit
My product is priceless
Her pussy's the tightest
She calls me your highness
Gas is the finest
We drip in designer
The opps wanna line us
But they cannot find us
Driving that nice shit
My product is priceless
Her pussy's the tightest
She calls me your highness
Gas is the finest
We drip in designer
The opps wanna line us
But they cannot find us
Whoa whoa yea yea",rap,Finest,0.6,0.9,2021
199,200,Lhomelessm,"Yo girl
You be the one in my mind
100 times
100 rhymes
You allways on my mind
Yeah
You worth it
Girl your so worth it
I need you
Your the one i like
I could hold you by my side
I dont wanna hide
Yeah my secret finna go outside
First time we eyed
You told me i lied
Never had a chance
Now everytime you see me i always glance
Your worth it
I like you and its worth it
You
You you
Your worth it
Girl your so worth it
I need you your the one i like
You could strike me once and i would still want you
Your look at me and think who
Like who are you
I'm the one
I'm the one
Your perfect
Worth it",rb,Worth it,0.9,0.6,2021
200,201,Radio Rell,"HOOK
Lil mamma on 10 yea Shawty on Fleek all she wanna do is turn up in the club every week with the body of a goddess I can tell she a freak no it ain't no doubt about it cuz Shawty on Fleek


VERSE: 1
Lil mama bad so a nigga gotta chastise so petite on fleek nice breast size she from the east but i met her on the west side I bet that pussy taste sweet like red vines unh
Got the body of a goddess hair silky smooth she look like she from the tropics every week in the club she turn up and get it poppin  yea shawty on fleek therеs really no better option
Thеm other bitches don't compare to you  OFA is what she rockin with the jimmy chu honey bomb ima eat it up like wenni pooh on
Fleek she a freak what that booty do

HOOK
Lil mamma on 10 yea Shawty on Fleek all she wanna do is turn up in the club every week with the body of a goddess I can tell she a freak no it ain't no doubt about it cuz Shawty on Fleek


VERSE: 2
Like a snickers out the freezer yea I'm hard af She back it up and dump it on me like a garbage truck no disrespect but u might just have to pardon us cuz lil mama on point like a barber cut Shawty got it her swagger is unpredictable but she ain't fuckin with u lames yall despicable me and u together baby that's the visual cuz when it come to beauty baby you the pentacle On fleek is what they call it do yo body got my number cuz I swear I hear it callin rip I kill the pussy I don't need no coffin cuz when I'm in it she be running like some water out the faucet


HOOK
Lil mamma on 10 yea Shawty on Fleek all she wanna do is turn up in the club every week with the body of a goddess I can tell she a freak no it ain't no doubt about it cuz Shawty on Fleek
Bridge: Never seen anything quite like her type cuz to me she a queen just what I like",rb,Shawty on fleek,0.4,0.7,2015
202,203,Waje,"Oh uh uh uh uh uh
I watch you as you wake this morning
Oh my darling
You take my breath away
That look upon your face open morning
Oh my darling I'm so in love with you today
Oh your eyes how they shine light into my soul
The way that you smile oh it makes me glow
Let us make this forever and after
My baby boo
Oh so much joy and laughter when I'm with you
Pepelepe oooo
You don't thief my heart away
Pepelepe oooo
Oh my baby boo
Pepelepe oooo
You don't thief my heart away
Pepelepe oooo
You take my breath away
Oh my darling
I get worried say you love me too much
Oh don't be far away my honey
Oh I need you every second of the day
Oh your eyes how they shine light into my soul
The way that you smile oh it makes me glow
Let us make this forever and after
My baby boo
Oh so much joy and laughter when I'm with you uh
Pepelepe oooo you don't steal my heart away
Pepelepe oooo oooo my baby boo
Pepelepe oooo you don't steal my heart away
Pepelepe oooo
I don't know where you come from
Or what you do
But I'm grateful to the Lord that it is you
Darling I feel the same way too
You know I'll give it all for you
And now I know the truth
That it's always been you yeah yeah
Pepelepe yeah yeah ooooo
You don't thief my heart away
Pepelepe yeah yeah ooo you don't thief my heart away pepelepe yeah ooo
Oh my baby boo
Pepelepe yeah ooooo
You don't thief my heart away
Pepelepe ooooo yeah yeah
Oh oh my baby ooo
Yeah yeah yeah pepelepe oooo
Ugh ugh ugh ugh pepelepe ooo
Pepelepe oooo
Oh you don't steal me baby oh
Pepelepe oooo
Bae baby baby baby yeah
Ayayayaya
This love is
Ewu ewu ewu
Ah ah ah ahah",rb,Udue,0.9,0.6,2018
203,204,Janine,"[Verse 1]
Yeah, yeah
Know the game, know the game, know it so well
Wanna win, wanna keep your head as well
How much can you take?
We're gonna find out
I just wanna be by myself
Know the game, know the game, know it so well
Make sure you know yourself, know them as well
Do they really give a fuck?
I guess we'll find out
I just wanna be by myself
I just wanna be by myself
Yeah, yeah

[Chorus]
It's far too late to act like you'll be there, be there
And it's far too late to act like I still care, still care
Cause I know what this is
So have no fear, no fear
Your talk is worthless than my time
And I just want to be by myself
Yeah, yeah
I just want to be by myself
[Verse 2]
Know your heart, know your mind, know your soul now
Remind yourself, say it out loud
It's just you, just me, just us now
I just want to be by myself
Know your heart, know your mind, know your soul now
What you hold close, and what you can't tell
You tell it, you tell it, you tell it so well
I just want to be by myself
I just want to be by myself

[Post-Chorus]
And if you're pushed under, can you swim?
And if you're pushed under, can you swim?
And if you're pushed under, can you swim?
And if you're pushed under, can you swim?

[Chorus]
And it's far too late to act like you'll be there, be there
And it's far too late to act like I still care, still care
Cause I know what this is
So have no fear, no fear
Your talk is worthless then my time
And I just want to be by myself
I just want to be by myself
I just want to be by myself
I just want to be by myself
[Bridge]
When I act like we're good
We can play with sin
Probably wouldn't mind if we don't speak again
You manipulate me, call yourself a friend
Bite my hand, I cut you off like a split end
You think you're winning now?
Oh, oh, oh you think you're winning now?
Oh, oh, oh you think you're winning now?

[Post-Bridge]
And it's far too late to act like I still care
That you're never gonna be there, you're never gonna be there

[Chorus]
And it's far too late to act like you'll be there, be there
And it's far too late to act like I still care, still care
Cause I know what this is
So have no fear, no fear
Your talk is worthless then my time
And I just want to be by myself
Yeah, yeah",rb,Be By Myself,-0.6,0.6,2018
204,205,Carl Anderson,"[Vocals: Carl Anderson, Vanésse Thomas, both]

[Verse 1]
My heart would ache each day
Wishing love would find its way
Then you came, and you changed my life forever
All my dreams have come true
It's very clear to me
You and I were meant to be
Making love through those stormy nights together
And last night shared with you

[Chorus]
It's the love you're giving me
So much more than I ever dreamed could be
It was there for all to see
This is how it was always meant to be

[Verse 2]
My heart anticipates
This еvening's warm embrace
Holding hands as wе plan our life together
Keep one future for two
Your eyes so deep, so clear, mm...
Your lips so soft, so near
It's enough holding you in my arms forever
All my life is for you
[Chorus]
It's the love you're giving me
So much more than I ever dreamed could be
It was there for all to see
This is how it was always meant to be
It's the love you're giving me
So much more than I ever dreamed could be
It was there for all to see
This is how it was always meant to be

[Bridge]
Oh, how I treasure these moments
Travelin' time and space, stand still
Oh come, let us share the magic
That love's made solely

[Outro]
It's the love you're giving me (when you came)
So much more than I ever dreamed could be
(In my lfe, changed my life forever)
It was there for all to see (it was very clear)
This is how it was always meant to be
(This, this is how all was meant to be)
It's the love you're giving me (thank you, baby)
(No, thank you) so much more than I ever dreamed could be
(For giving me so much love) (so much love)
(So much love) it was there for all to see, there for all to see
This is how it was always meant to be, always meant to be (ooh...)
It's the love you're giving me (it's the love), love you're giving me
So much more than I ever dreamed could be, ever dreamed could be
It was there for all to see, there for all to see
This is how it was always meant...",rb,It’s the Love,0.8,0.4,1984
208,209,Angela Muoz,"You're a ladies weakness
Just your eyes will have my knees baby
Ohh I, I, do I like you the way you are

Top down, yeah top down
You drive around, you drive around
Oh I, do I need you the way you are
Oh I

Can I get to know yah?
Can I get to show yah?
How I feel
You got all attention
Cause all these ladies want you

This love below won't ever show
I keep it cool so you never know
These things I feel for you ohhh
But I keep finding you just wandering
And in my mind
By the way cause I know I ain't you're type
Top down, yeah top down
You drive around, you drive around
Oh I, do I need you the way you are
Oh",rb,Top Down,0.3,0.7,2020
210,211,Nylo,"[Verse 1]
I used my love to fear you
I used my fear to hate
And when I could have held you
I used my pride to stay away
I used to use affection as if its currency
Now when I'm touching your skin
You can’t help it, that's how it feels

[Chorus]
And all this time
I was trying to love you, to love you right
And all this time
I was trying to love you, to love you right
I used my love

[Verse 2]
Wish I could blame my father
Wish I could blame you
But sadly I know better
It’s too late, there's nothing I can do
[Chorus]
And all this time
I was trying to love you, to love you right
And all this time
I was trying to love you, to love you right
I used my love
I used my love
I used my love",rb,I Use,-0.8,-0.3,2015
212,213,Savage Rapscallion,"So dont go out that door baby
You are my darling girl
Things they changing
All around me
But you girl were not one

My secrets you kept um
Never broke my heart
Like the rest of um
I swear to god
I miss you
Were perfect no issues
No issues
I said dat
I love you
I meant it
But did you

I got home this Tuesday
You told me you made a
Mistake
So welp here we go
Another bitch
That was a hoe
They want you to change
But they dont
You lose my trust
I lost my soul
Sold my soul
To a hoe
Still the same
I dont know
Momma taught me
To not hit women
But always slap a hoe
So just walk out that door baby
I dont care where you go
You said it was nothing
Didn't mean shit
Then why is he still on your phone

So welp here we go
You said we'd be together
Till death
So heres a bottle of pills for us both
Oh the answers no
Then get your shit
And our memories
I dont wanna see you any more",rb,I love hating you,-0.6,0.6,2021
213,214,Svn. The. Singer.,"Part I

[Verse 1:]
I might just say too much
Don't know what's in my cup
My shift ended at 9, girl, now I can pick you up, baby
Don't care what time it is, I'm on my way right now
Come 'round, you know me, girl

[Chorus:]
But, I know you love your man
But, girl, I want you on my wave
I wanna love you down in every type of way
Best believe it girl, I tell you, I'm on my way
Baby girl, I just want you on my wave

[Verse 2:]
Believe me, girl, I won't go astray
I've been watching you since we met that day
Let me love you down, girl, I know the way
Let me lay you down, girl, then we can play
Yeah, you know I come to your crib like ""woo""
Might wine and dine, you looking mighty fine, girl, you do
Then skip the meal, get to dessert, and that's you
Then go silent
[Chorus:]
But, I know you love your man
But, girl, I want you on my wave
I wanna love you down in every type of way
Best believe it, girl, I tell you, I'm on my way
Baby girl, I just want you on my wave
I want you on my wave
I want you on my wave
Best believe it, girl, I tell you, I'm on my way
Baby girl, I just want you on my wave

Part II

[Spoken Intro:]
I mean, like
I don't know how many times, I can't
Go over the same thing, you know
Tryna say the same thing
I mean, like
It doesn't matter how many times I say it, you know
I guess, you know
I just need you to feel he same way about me
Yeah

[Verse 1:]
You know I had to come through and let you know
I've been feeling you since I saw you making your own money, girl
I'm not even trying to ruin what you have, but I'm not okay
See you on the snap with him, but shawty, swing my way
Can't expect me to keep silent
Phone blowing up? Don't mind it
I just want us a silence
We can do the unthinkable, yeah
That's why
[Chorus:]
I know you love your man
But, girl, I want you on my wave
I want to love you down in every type of way
Best believe it, on my wave
Baby girl, I just want you on my wave",rb,Wave,0.3,0.7,2016
214,215,Ailani,"[Verse 1:]
So unique, you're so fucking rare
Is what you said
Always in the mood to see you
But some things ain't promised
I'm just trusting the signs
Don't wanna play it safe, don't gotta lie
Trying so hard, walking down a straight line
But you gotta know it's a thin line

[Chorus:]
And I'd like to imagine what you taste like
Imagine what I'd feel like
What it would feel like to have your body on top of mines
Even though you know I can't stay tonight
Show me the real you tonight

[Post-Chorus:]
Your body, body, body, body
Your body stays on my mind
Your body, body, body
I can't keep my cool and I just lose it
[Verse 2:]
Too big for my imagination
Let me be your motivation
Boy, don't get upset when I don't flash a pic
Let's just meet up and do the real thing
Tryna read between the lines
I know you're fine (Fine, fine)
Not tryna bе shy
Boy, I don't like to lie

[Chorus:]
And I'd like to imaginе what you taste like
Imagine what I'd feel like
What it would feel like to have your body on top of mines
Even though you know I can't stay tonight
Show me the real you tonight

[Post-Chorus:]
Your body, body, body, body
Your body stays on my mind
Your body, body, body
I can't keep my cool and I just lose it",rb,Imagine Your Body,0.3,0.6,2021
215,216,Realnev,"[Chorus]
Paper feelings cut so fast I can't hold on
People scream inside my head I prove them wrong
Pleasure thoughts may come and go but not for long
Even if the night is cold we still hang on

[Verse 1]
Life come full circle when you're by my side
Party's over grabs our bags and exit now
How can you love someone you dont see around
Saying that you mean the world to me is a silent sound
Darkest days are what i love so stop the sun
Fall in love with clouds cause im high above
Fall from the sky like the angel you once was

[Chorus]
Paper feelings cut so fast i can't hold on
Pеople scream inside my hеad I prove them wrong
Pleasure thoughts may come and go but not for long
Even if the night is cold we still hang on
[Verse 2]
One two three years ago
I wish we'd spend the lonely lonely road
Together, together
Life come full circle when you're by my side
Party's over grabs our bags and exit now
How can you love someone you dont see around
Saying that you mean the world to me is a silent sound
Darkest days are what i love so stop the sun
Fall in love with clouds cause im high above
Fall from the sky like the angel you once was",rb,Silent Sounds,-0.8,-0.3,2022
218,219,Lil Mosey,"[Chorus]
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah

[Verse 1]
Baby, I don't really cuff girls
But baby, I'll cuff you, 'cause I really want you, yeah
I really want you, you so bad, baby, tell me, why don't you
Come my way, all I want to do is see your face
We can take it slow, this ain't no race
But we can speed up if that's okay, yeah, if that's okay
Every time you walk by, I just wanna put you on replay
See you walk by again, baby, you a ten
Can I be your man? And we can just chill, I ain't gotta go in, say, we could take it slow
Baby, you already know this the wintertime
Dark early, and it snow
So we can stay in, it's the cuffing season, I'ma stay until the end

[Chorus]
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah
[Verse 2]
Girl, nothing lasts forever
But baby, I swear I can fuck you 'til whenever (Yeah, yeah)
Usually, I play, but I ain't playing whatsoever
However, we could do it how you want it
Girl, they don't want to sever
But we could do it better, swear I'ma keep tryin', I won't ever let up
My last girl, she was so damn fed up
Yeah, I swear every day, she was telling me whatever
I'm tired of these hoes that be wanting me so perfect
But girl, you different now, swear you so damn perfect, yeah

[Chorus]
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah

[Verse 3]
Now I got you where I wanna
Baby, you so fine, can I have you 'til the summer?
If I had you, we could do whatever we wanna
When I get you, I'ma rope you in like vanilla
Too fucking bad, baby, they a fashion killer
Seen you looking down, I said,""Baby, keep your chin up""
I'm growing onto you, now I got you, baby hold up
Now you can tell them, tell all them niggas, say, ""Back up""
Baby, you mine, I'ma keep you 'til the sun up (Sun up), yeah
[Chorus]
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah
You so bad, and baby, I want you so bad, yeah
You so bad, yeah, and baby, I want you so bad, yeah",rb,So Bad,0.4,0.7,2016
219,220,IndigoChildRick,"[Verse 1]
I like all the features on her face she attractive
Lips with the knockers like a door with a package
D-H-L how a nigga might bag it
DHL dick hella long no cap
She know (yeah) she see it if she want it she can have it
I ain’t with the funny business I ain’t with the taxin’
What are you asking?

[Verse 2]
Pull up to shawty house
Cool lil shawty out
She gon' ride shotty now
Turn up the party now
Hop in the whip baby
Come ride in the coupe with me
Hop in my coupe baby
You slidin? You coming with me?

[Verse 3]
I don’t mean to be trippin'
I just love beautiful women
I ain’t no rude nigga
This is just me off the liquor
Geeked it's going down
We hit the road now
If she wanna party now
I'ma turn the party out
[Verse 4]
I just like beautiful women
Wanna fall in love
Got a new bad booty bitch
Tryna give it up
I'ma let her come slide in
“When we getting up?”
Shawty gunna come, fly in just to get a nut

[Bridge]
Slide it in
Ima get it
She wanna get hit
I’m the realest
Nigga in this, since it started out
IndigoChildRick, Bitch I turn the party out

[Verse 5]
Look, I was steady poppin' bitches
Ain’t got the time now
I was steady rockin' Christian
Won’t spend a dime now
Dior heavy now
Pull out the Chevy now
You have that nigga wrap that up when you rolled around?
I’m actin' petty now
Property stolen now
I was the golden child
You was just holding out
You was actin’ crazy
I was thinking somethin’ else
Damn, Yea bitch
Yea you played yourself
Uh, Baby girl, now there’s no more left",rb,Trippin,-0.6,0.6,2020
220,221,Bobby Taylor,"[Verse 1]
As I watch the golden sun ​
Creep down the mountainside
I turn my face to the wind
To blow away these tears I cried
Walking down the path
I kicked a stone to release some pain
Thinking back to days when love
Was just like sunshine instead of rain

[Pre-Chorus]
But I can't help but wonder
Just how you feel since you've been gone
Is that happy smile you're wearing
All pretend 'cause you're alone, oh oh oh (You're alone, you're alone)

[Chorus]
Out in the country (Out in the country)
All alone with my tears (All alone)
That's where I belong
I don't want to meet nobody new (Out in the country)
(All alone)
I just want you to come on home
(Ooo wah, ooo wah)
[Verse 2]
Ah, Sunday morning
I packed a picnic lunch for two
Goin' out where we used to go
And I'm saving a place for you, mm
Spread out on the blanket
I took a deep breath of fresh air
And it seemed just like old times
Only difference is you're not here

[Pre-Chorus]
Oh, I know that it would make more sense
To take somebody else
But I'm only thinking about you
So I'd rather be by myself (Rather be by myself)

[Chorus]
Ooh, out in the country (Out in the country)
All alone with my tears (All alone)
That's where I belong
I don't want to meet nobody new (Out in the country)
(All alone)
I just want you to come on home

Ooh ooh ooh
Oh baby, come on home
Oh, girl
Oh, oh oh
[Bridge]
Now the sun has set
And the day has turned to night
I guess that I'll just go on home
With my thoughts I'll have to fight
Thoughts of the country
And how our love began
And the good times that we've shared
Right up to the end

[Pre-Chorus]
And whenever I'm feelin' lonely
And this loneliness turns to gloom
I take my thoughts out in the country
Where there's lots of room (Where there's room I can think of you)

[Chorus]
Ooh, out in the country (Out in the country)
Oh oh oh (All alone)
Out in the country
That's where I belong (Out in the country)
Oh, yeah, yeah, yeah, yeah, yeah (All alone)
I don't wanna meet nobody new

(Out in the country)
I just wanna be left alone (All alone)",rb,Out in the Country,-0.8,-0.5,1969
