,title,tag,artist,year,x_coordinate,y_coordinate
628,Sender/Reciever,rock,Sosaveme,2011,0.6,-0.4
629,Meropes Song,rock,Lena Gabrielle,2008,-0.8,-0.1
630,Shut Up,rock,blink-182,2001,-0.6,0.5
631,Fall in the Ocean,rock,House Ghost,2016,-0.3,-0.7
632,Jet Black Heart,rock,Arrows To Athens,2016,-0.8,-0.3
633,Pilgrims,rock,No-No Boy,2021,0.9,-0.2
634,Second Sight,rock,Harrow,1996,-0.7,0.6
635,What’s Love Got to Do with It,rock,Tina Turner,1984,-0.4,0.7
636,Death Prize,rock,Deficit (AU),2021,-0.6,0.7
637,Mirrorful,rock,Jawbox,1996,-0.6,0.5
638,Doubts,rock,Painting Promises,2019,-0.8,-0.1
639,Revolution Coming,rock,Red Mesa,2014,-0.4,0.7
640,Whenever Im Alone,rock,We Are Waves,2014,-0.4,0.7
641,Kill Somebody Unplugged,rock,YUNGBLUD,2018,-0.6,0.7
642,3 Legs,rock,Paul McCartney,1971,-0.7,0.6
643,Touch the Razor,rock,Hangman's Chair,2018,-0.8,-0.3
644,Everybody Bonus Track,rock,Stabilo,2006,-0.6,0.5
645,Keep Me,rock,Imminence,2017,-0.8,-0.1
646,Flesh of Fallen Angels,rock,Amaros,2017,-0.8,-0.5
647,Honor Never Dies,rock,Hatebreed,2013,0.7,0.9
648,Dont Be Shy Him,rock,Kelly Carter,2022,0.3,0.7
649,Stop,rock,The Summer Kills,2018,-0.7,0.6
650,Pink Lakes,rock,Solanas,2015,-0.3,-0.7
651,First Day of Spring,rock,Graham Parker,1995,0.9,-0.2
652,One Man Show,rock,30db,2010,-0.7,-0.3
653,Murderboy,rock,Finding Aureus,2021,-0.6,0.7
654,Turn It Up,rock,Ashland,2017,0.7,0.9
655,Take the Edge Off,rock,Lionize,2006,0.8,-0.5
656,Beauty Meets Beast,rock,Morbid Angel,2011,0.3,0.7
657,Backwash,rock,Deadlights (Post-Hardcore),2017,-0.6,0.5
658,Think,rock,Freshly Wrapped Candies,1989,0.6,-0.4
659,Altered Beast I,rock,King Gizzard & The Lizard Wizard,2017,-0.4,0.7
660,M.S. Bismarck,rock,Asphyx,1992,-0.4,0.7
661,The Waves,rock,Bjrn Riis,2017,-0.8,-0.1
662,Mile Away,rock,Allison Crutchfield,2017,-0.6,0.5
663,Ode To Rose,rock,CODA FACTO,2021,-0.7,0.6
664,Hampden Cabs,rock,The Dunts,2017,-0.7,-0.7
665,Faded Memory,rock,Skarlett Riot,2013,-0.8,-0.3
666,They Were Wrong,rock,The Dogs (Norway),2016,-0.3,-0.7
667,Rise With the Fallen Ones,rock,Cerberus (Band),2019,-0.6,0.7
668,Tempo,rock,Ray Charles,2000,0.7,0.9
669,Placeholder,rock,Secondsun,2020,-0.6,0.7
670,Frolic Room,rock,311,2006,-0.8,-0.5
671,Here Comes Sally,rock,Glen Burtnik,1987,0.9,-0.2
672,Blue Hazy Highs,rock,Django Django,2018,-0.3,-0.7
673,Memory,rock,Pat Symington,2021,-0.7,-0.3
674,The Fall,rock,Gojira,2012,-0.8,-0.3
675,Smashing Pumpkins’s “Daydream”,rock,Mr. Mendola,2014,-0.8,-0.1
676,Honey White,rock,Morphine,1995,-0.7,-0.3
677,Communion with the Void,rock,Antediluvian,2012,-0.8,-0.3
678,Waiting For Tomorrow,rock,Urbanites,2018,-0.8,-0.1
679,Rise,rock,Neither/neither World,2003,0.7,0.9
680,Wanna luv u,rock,Superlove (UK),2022,-0.7,0.3
681,Dont Get Funny with Me,rock,The Cramps,1991,-0.6,0.5
682,Carry On,rock,Mezmerized,2020,0.7,0.9
683,Fat City,rock,Airbourne,2007,0.7,0.6
684,Didnt It Rain,rock,Louis Armstrong,1958,-0.8,-0.5
685,With A Girl Like You,rock,The Legend (rock band),2021,0.8,-0.5
686,Dopey Joe,rock,The Velvet Underground,1973,-0.6,0.5
687,Rooms,rock,Harvey Parker,2020,-0.8,-0.3
688,Rainbow,rock,Kim Mitchell,1995,0.7,0.9
689,The Rabbit Hole,rock,In This Moment,2008,0.8,-0.5
690,Vampiretown,rock,Forrister,2013,-0.8,-0.1
691,Acquaintance,rock,Atlantic Wasteland,2019,-0.7,0.6
692,Take On Me,rock,Jonas Brothers,2013,-0.7,-0.3
693,Forward,rock,Flatfoot 56,2017,0.7,0.9
694,Without You,rock,Mike Shupp,1997,-0.7,-0.3
695,First Impressions,rock,The Publics,2019,-0.6,0.5
696,Execution,rock,Grave Digger (band),2010,-0.6,0.7
697,Great Soul,rock,The Tragically Hip,2016,-0.3,-0.7
698,Lay By Me,rock,Firekid,2015,0.6,-0.3
699,Warriors  Queens,rock,The Ninja (Band),1985,0.3,0.7
700,Smaller and Smaller,rock,Faith No More,1992,-0.8,-0.3
701,I Just Knew,rock,Andrew VanWyngarden,2014,-0.7,-0.3
702,Russian Winter,rock,London (Band),1990,-0.7,0.3
703,Falling,rock,Waste Of Mind,2018,0.7,0.9
704,The Straight and the Narrow,rock,Spiritualized,2001,-0.8,-0.5
705,Cloak and Dagger,rock,Rory Gallagher,1978,0.9,-0.2
706,Running,rock,Austin Stone Worship,2020,0.8,-0.5
707,Swing by Swing,rock,Like Torches,2016,-0.8,-0.3
708,Shine On,rock,Impellitteri,2018,0.7,0.6
709,Wake Me,rock,Bleachers,2014,-0.8,-0.5
710,Chessman Red Monday,rock,Amputated Genitals,2005,-0.2,0.7
711,Someone Special,rock,Fr Leo Watt & The Clefs,1971,0.9,-0.2
712,Stoned in Saigon,rock,Fresh,1971,-0.4,0.7
713,One More Chance,rock,Big Wreck,2019,-0.7,0.6
714,Waster,rock,Max Bemis and the Painful Splits,2010,-0.8,-0.3
715,Halloween 18,rock,Early Eyes,2021,-0.6,0.5
716,Up on High,rock,Daniel Rossen,2012,0.8,-0.5
717,Showdown,rock,Boy & Bear,2015,-0.4,0.7
718,Baby Please Dont Go,rock,AC/DC,1975,-0.8,-0.1
719,Mix Up Mix Up,rock,Bob Marley & The Wailers,1983,-0.6,0.5
720,James K. Polk,rock,They Might Be Giants,1996,0.7,0.6
721,End In Fire,rock,Alphawolves,2018,-0.8,-0.5
722,What Are You Afraid Of?,rock,Emphatic,2019,-0.4,0.7
723,Impious Plague in Catacombs,rock,Necrowretch,2013,-0.4,0.7
724,Zordon,rock,Munky,2019,-0.8,-0.5
725,Ode To Sleep,rock,twenty one pilots,2011,-0.8,-0.3
726,High School Drama Violence,rock,Clay J Gladstone,2021,-0.8,-0.1
727,Good Life,rock,Ron Pope,2018,0.9,-0.2
728,Rust,rock,Miss May I,2010,-0.4,0.7
729,5 Reasons,rock,Meg & Dia,2009,-0.7,-0.3
730,Your Property,rock,Swans,1984,-0.6,0.5
731,You Know You,rock,Agatha (Band),2015,-0.8,-0.5
732,Red War,rock,Soulfly,2015,-0.4,0.7
733,In the City,rock,Big Boys,1980,0.7,0.9
734,Godless,rock,The Crown (Band),1995,-0.8,-0.3
735,Just Couldnt Say,rock,Tim Staffell,2003,-0.8,-0.1
736,10:00 AM,rock,State Champs,2020,-0.7,0.6
737,Chorus and the Ring,rock,R.E.M.,2001,-0.4,0.7
738,Changes,rock,Captain Marryat,1974,0.8,-0.5
739,Walk On Water,rock,Nonpoint,2016,-0.6,0.5
740,Psychosomaticism,rock,Kylie V,2018,-0.8,-0.3
741,Wheres Vince?,rock,The Smashing Pumpkins,2016,-0.2,0.7
742,Dreams,rock,Country Joe and the Fish,1977,-0.8,-0.5
743,Sensory Overload,rock,Kuritarvitaja,2022,-0.8,-0.1
744,Double Helix,rock,Space Unicorn on Fire,2016,0.7,0.9
745,Sleeping Without a Pillow,rock,Ronoc 'N' Roll,2018,-0.8,-0.3
746,Restraint,rock,Mallcops,2020,-0.7,-0.3
747,Rending,rock,Lo-Ruhamah,2017,-0.4,0.7
748,Juvenile,rock,Jonathan (HRV),2015,-0.3,-0.7
749,A View to a Kill,rock,Diablo (band),2006,-0.4,0.7
750,Keep Nothing Hushed No No No,rock,Coley Mixan,2020,0.8,0.3
751,Hammered Demo,rock,Mtley Cre,1994,-0.6,0.7
752,Bones,rock,Matt McAndrew,2016,0.8,-0.5
753,Nostalgia,rock,Mild West,2019,-0.3,-0.7
754,Breakfast with the King,rock,Goatsnake,2020,-0.7,-0.3
755,Everybody Else But Me,rock,McKendrick,2000,-0.8,-0.3
756,Unsung Beauty,rock,I Declare War,2006,-0.8,-0.5
757,The Eagle of the Star,rock,Dwarrowdelf,2020,-0.2,0.7
758,Distaste for Ordinary Scum,rock,Those Who Bring the Torture,2007,-0.6,0.7
759,Sensation,rock,Animal Flag,2016,-0.7,0.6
760,Impermanence Streakt Through Marble,rock,Falls of Rauros,2017,-0.8,-0.3
761,Story of an Immigrant Acoustic,rock,Civil Twilight,2016,0.7,0.9
762,Try to Believe,rock,Y&T,1997,-0.3,-0.7
763,Working Class Hero,rock,Jimmy Barnes,2019,-0.6,0.5
764,Motorology,rock,Ozma,2007,-0.8,-0.3
765,Bliss,rock,Purple (Texas Music),2016,-0.2,0.7
766,Dissolver,rock,Perennial,2017,0.7,0.9
767,This Christmas,rock,Majestica,2021,-0.8,-0.5
768,Savage,rock,Ben Khan,2014,-0.6,0.7
769,Go Go Go,rock,Helena Arlock,2010,-0.7,-0.3
770,One More Heartache,rock,Marvin Gaye,1966,-0.8,-0.1
771,RISE,rock,I Prevail,2016,0.7,0.9
772,Saturday Night,rock,Cold Chisel,1984,-0.7,-0.3
773,No More Sorrow,rock,Linkin Park,2007,-0.6,0.7
774,Come Home,rock,OneRepublic,2007,-0.3,-0.7
775,Holding on,rock,Lynx (1976),1976,-0.8,-0.3
776,S.M.D.,rock,Solstice (USA),1992,-0.6,0.5
777,Alive,rock,Maggie Gently,2020,-0.7,0.3
778,The Wronged,rock,Thrown into Exile,2020,-0.8,-0.5
779,Prelude,rock,Scary Kids Scaring Kids,2007,-0.7,0.3
780,Resurrection Of Ancient Evil,rock,Ezurate,2007,-0.6,0.7
781,Oh Woman,rock,Newcomers Club,2018,-0.6,0.5
782,Penny Lane,rock,Aim High,2021,-0.6,0.7
783,Serrated,rock,Eldest 11,2013,-0.6,0.5
784,Clouds Over California,rock,DevilDriver,2007,-0.8,-0.5
785,Imminent War,rock,Hope for the Dying,2011,-0.3,-0.7
786,Anchored,rock,Ghost Brigade,2014,-0.8,-0.3
787,Sad people blue eyes,rock,Forever Unknown,2022,-0.8,-0.3
788,One of Those Things,rock,Sanctus Real,2013,0.7,0.9
789,Wax Rose Saturday,rock,Mux Mool,2010,0.7,0.9
790,Lenora,rock,Madam Macadam,2012,0.7,0.6
791,Crawling Back to You Alternate Version,rock,Tom Petty,2020,0.1,-0.7
792,I Just Want to Love You,rock,Leave it Blank (band),2018,0.3,0.7
793,Montaigne,rock,Pinback,1999,-0.7,0.6
794,Back Pages,rock,The Brandals,2021,-0.7,0.3
795,Dont Forget Me,rock,Neil Diamond,2010,-0.3,-0.7
796,Riding with the King,rock,B.B. King & Eric Clapton,2000,0.7,0.9
797,Take Me to Yolita,rock,Robert Pollard,2015,-0.7,0.6
798,Holly Golightly,rock,Frnois and The Atlas Mountains,2021,0.6,-0.4
799,Problems,rock,Local Violence,2021,-0.8,-0.3
900,Pilot Of The Storm,pop,The Poodles,2009,-0.3,-0.7
901,Gorgeous,pop,ICE (USA),2015,0.7,0.6
902,The Worst Is yet To Come,pop,Slut,2021,-0.8,-0.5
903,Last of the Ghetto Astronauts,pop,Matthew Good Band,2015,-0.8,-0.3
904,Deep Inside My Heart,pop,Jamie Rivera,2003,0.9,0.6
905,She Lives By Night,pop,Nunslaughter,2003,0.7,0.9
906,Silver Felt,pop,Loch Lomond,2016,-0.7,-0.3
907,Broken Wing,pop,Evil,2021,-0.8,-0.3
908,Creature Of Night,pop,Zombie Girl,2007,-0.8,-0.1
909,​i need to say goodbye.,pop,Mive,2021,0.1,-0.7
910,Every inch of you,pop,Outshyne,2012,0.9,-0.2
911,Ill Be Turning To You,pop,Kieran Kane,2015,0.6,-0.4
912,One Small Chance,pop,Big Mountain,1999,0.7,0.9
913,Automata,pop,KOGARASHI,2019,-0.6,0.7
914,Hall of Death,pop,"Matt Sweeney & Bonnie ""Prince"" Billy",2021,-0.3,-0.7
915,The Life feat. Hussein Fatal Caddillac Tah  James Gotti,pop,Ja Rule,2015,0.7,0.9
916,Spin The Record,pop,Melodi Brown,2002,0.7,0.9
917,Not A Love Song,pop,Ida Corr,2017,-0.3,-0.7
918,The Greatest RedTop Remix,pop,Michelle Williams,2008,0.9,0.2
919,Im Yours,pop,Acoustic Sound Section,2015,0.9,-0.2
920,Come on Baby,pop,Jimmy Reed,2015,0.7,0.9
921,Summer Days in Bloom,pop,Maximilian Hecker,2007,-0.8,-0.3
922,SOMEDAY,pop,YOG$,2021,-0.7,-0.3
923,Thank You for All Your Loving,pop,Elton John,1968,0.9,-0.2
924,Explain,pop,Adi Lukovac & Ornamenti,2015,-0.8,-0.3
925,Remedy,pop,NBT CLEVER,2021,0.6,-0.4
926,Oh My Goodness,pop,The Lynns,1998,0.7,0.6
927,Never To Fall,pop,Svartahrid,2000,-0.4,0.7
928,Wanna Go,pop,push baby,2020,-0.3,-0.7
929,Testament,pop,MRM (UK),2020,-0.8,-0.3
930,Climbing,pop,Naomi Cowan,2020,0.7,0.9
931,To Be Loved Schillerschule Remix,pop,Whitney Tai,2015,-0.7,0.6
932,Too Late,pop,Aston Merrygold,2016,-0.7,-0.3
933,Gardens,pop,Tidus Duffer,2019,0.6,-0.4
934,Puttin in Work,pop,Bone Crusher,2003,0.7,0.9
935,No Child Left Behind,pop,Adolescents,2011,-0.6,0.5
936,Dont Believe the Good News,pop,Archers of Loaf,1995,-0.8,-0.5
937,Mercy,pop,Sarah McLachlan,1991,-0.7,-0.3
938,I Need You So,pop,LSU,1989,0.8,-0.5
939,Drugs N alcohol URLUVISLIKADRUG,pop,ATRA$HAD,2021,0.7,0.6
940,Not Gonna Bow,pop,Russ Taff,1985,0.7,0.9
941,Beautiful,pop,KIDZ BOP Kids,2003,-0.3,-0.7
942,True Love Will Find You In The End Cover,pop,Fond Memory Vacation,2021,0.6,-0.4
943,Valerie,pop,Vaughan Penn,2015,-0.8,-0.3
944,You are the reason,pop,CAPSULE,2007,0.6,-0.4
945,Put Me in the Picture,pop,Jump5,2002,0.2,1.0
946,Love by Way of Hollywood,pop,From Aphony,2005,-0.8,-0.1
947,Always Been Mine,pop,"Love, Alexa",2021,0.7,0.9
948,Take Off Ur Pants,pop,Indigo De Souza,2018,-0.7,0.3
949,Lost,pop,Aesthetic Pleasure,2018,0.7,0.9
950,Love You Now Love You Later,pop,Ben Kessler,2021,-0.3,-0.7
951,Mr Speaker Gets The World,pop,Madness,2015,0.7,0.9
952,Catherine Wheel,pop,Wild Beasts,2011,-0.8,-0.5
953,Mayday,pop,JP Thornewell,2018,-0.8,-0.1
954,Brand New,pop,Kim Sturre,2019,-0.4,0.7
955,Nobodys Fault But Mine,pop,Tom Jones,2010,-0.7,-0.3
956,The Watermark High,pop,Elliott,1998,-0.8,-0.3
957,Damned If I Do Ya Damned If I Dont Live From MTV Unplugged,pop,All Time Low,2010,-0.7,0.6
958,Love Yourself Cover,pop,Dua Lipa,2016,0.9,-0.2
959,Safari,pop,Sui Zhen,2015,0.6,-0.4
960,​love nwantiti German Frizzo Remix,pop,CKay,2020,0.3,0.7
961,Please,pop,Rian,2019,0.3,0.7
962,Nine Summers Lost,pop,Harry Manx,2009,-0.7,-0.3
963,Do You Kow What I Mean,pop,Lee Michaels,2015,-0.7,0.6
964,Always The Same,pop,Dog Eat Dog,1999,-0.8,-0.3
965,Still Not Home,pop,Tift Merritt,2012,-0.3,-0.7
966,Church Of Disgust,pop,Nunslaughter,2003,-0.6,0.7
967,Accidental Happiness,pop,Ida Maria,2014,-0.3,-0.7
968,Hear It From You,pop,The Clarks,2015,-0.8,-0.3
969,Stop The Music Is Over,pop,Lutha,2015,-0.7,-0.3
970,Call It Quits,pop,The Ziggens,2015,-0.3,-0.7
971,Long Shot Acoustic Mix,pop,Antigone Rising,1999,-0.7,-0.3
972,Runner,pop,Corneliia,2018,-0.8,-0.5
973,Dont Wanna Lose You,pop,Risin' Black Hole,2013,-0.4,0.7
974,Alien Unplugged,pop,Your Favorite Martian,2012,-0.8,-0.1
975,I Dont Know How to Love You,pop,Delanie,2020,-0.7,0.3
976,Demon Of Destruction Agares,pop,Besatt,2015,-0.2,0.7
977,Nex Season,pop,King Django,2001,0.7,0.9
978,Beni Accident,pop,Pistolita,2006,-0.8,-0.3
979,Krule Love,pop,Julian Lamadrid,2016,-0.7,0.3
980,Cest La Vie,pop,Magnum (Band),1988,0.7,0.9
981,Little Girl Blue,pop,Carly Simon,1990,-0.3,-0.7
982,An Attempt To Forget,pop,Backseat Goodbye,2008,-0.8,-0.5
983,Chosen,pop,Sidewalk Prophets,2020,0.7,0.9
984,Listen,pop,Haley Reinhart,2016,0.7,0.9
985,Ghost,pop,Jeremiah Neil,2019,0.3,0.7
986,Wake Up Acoustic Version,pop,Sullivan King,2019,-0.7,-0.3
987,I Cant Wait,pop,E.G. Daily,1999,0.9,-0.2
988,Save Tonight,pop,The Harvard Opportunes,2015,-0.7,-0.3
989,Ever Seen This English Version,pop,Aceyalone & RJD2,2010,0.9,-0.2
990,Like Spinning Plates,pop,Bella Ruse,2011,-0.7,0.6
991,Summer All Year,pop,ECH,2020,0.9,0.6
992,Smog,pop,Moev,1990,-0.8,-0.5
993,Nearness,pop,Mark Barlow,2021,0.6,-0.4
994,Diamonds,pop,Miss Mango,2014,0.8,-0.5
995,Dont Know How to Behave,pop,Michi (Los Angeles),2020,-0.8,-0.5
996,Insecure,pop,Clover The Girl,2019,-0.8,-0.3
997,The weight,pop,Uncle Kracker,2015,-0.7,-0.3
998,Never Was Alright,pop,Dan and Drum,2019,-0.7,0.6
999,The Seasons in Between,pop,Enik,2006,-0.3,-0.7
1000,Hello Trouble,pop,Desert Rose Band,1988,0.1,-0.7
1001,Strange Fruit,pop,The Twilight Singers,2004,-0.8,-0.5
1002,ZERO FIVE STARS,pop,COUCOU CHLOE,2021,-0.7,-0.7
1003,Dementia,pop,Undercroft,2000,-0.2,0.7
1004,Love Is,pop,Roger Daltrey,1992,0.6,-0.4
1005,Til the Morning Sun Shines on My Love and Me,pop,Chris Rea,2005,-0.7,-0.3
1006,Before The Dawn,pop,Centinex,1997,-0.8,-0.3
1007,The Ballad Of Henry Darger,pop,Natalie Merchant,2015,0.7,0.9
1008,Walk On Stars,pop,Angels & Agony,2007,0.9,0.6
1009,Written All Over Your Face,pop,Glenn Hughes,2003,0.6,-0.4
1010,The Cold Wild Yonder,pop,Oliver Boyd and the Remembralls,2016,0.7,0.9
1011,Psalm 63,pop,Robbie Seay Band,2013,0.8,0.3
1012,Everybodys Had the Blues,pop,Dean Martin,1983,-0.7,-0.3
1013,Rave Machine,pop,Oliver Heldens,2020,0.7,0.9
1014,I Exalt Thee,pop,Phil Driscoll,1998,0.9,0.2
1015,One the Planes,pop,Jandek,1986,-0.3,-0.7
1016,Ronnies Samba,pop,Matt Bianco,2004,0.9,0.6
1017,Make The Best,pop,Chris Murray,2002,0.8,-0.5
1018,What I Needed,pop,Dark Dark Dark,2013,-0.3,-0.7
1019,Cereal Song Live,pop,The Blank Minds,2018,0.9,0.6
1020,The Void,pop,Nine Lashes,2012,-0.8,-0.5
1021,Sadness,pop,Paradox,2000,0.1,-0.7
1022,Were All Falling Apart,pop,OCTAVIO the Dweeb,2021,-0.8,-0.3
1023,Searching,pop,Lowes,2018,-0.6,0.5
1024,Slipknot,pop,Poor Old Lu,1995,-0.8,-0.5
1025,This Time,pop,NvMe,2021,-0.6,0.5
1026,Once Upon A Time,pop,Brandon Coleman (Bay Area),2014,-0.8,-0.3
1027,Indigo,pop,Lottie,2021,0.2,1.0
1028,Only In My Mind,pop,Imperative Reaction,2006,-0.3,-0.7
1029,God Knows,pop,Nico Santos,2018,0.7,0.6
1030,I Have Known Love,pop,Silver Apples,1969,0.1,-0.7
1031,Reflection,pop,Lil Animus,2011,-0.3,-0.7
1032,The Chosen Ones,pop,Hasse Froberg And Musical Companion,2015,0.1,-0.7
1033,No Good,pop,Perfume Genius,2014,-0.7,-0.3
1034,I Need More Time,pop,LoganPlayz,2018,-0.8,-0.3
1035,Morning star,pop,Jimi Hunydread,2020,0.7,0.6
1036,Damage Is Done,pop,Wet,2015,-0.7,-0.3
1037,She Left,pop,C-Tec,2000,-0.7,0.6
1038,Violence Rezz Remix,pop,Grimes & i_o,2021,-0.6,0.5
1039,Bob Dylans 115th Dream,pop,Asobi Seksu,2010,-0.3,-0.7
1040,Flowers of Youth,pop,Cynthia Alexander,2015,-0.7,-0.3
1041,Special,pop,Disally,2018,0.3,0.7
1042,If You Ask Me I Wont Say No,pop,Pete Shelley,1983,-0.4,0.7
1043,Awaken The Monster,pop,Gaia Epicus,2007,-0.2,0.7
1044,You Look Rly Cute,pop,awfultune,2019,0.7,0.9
1045,Evils On Top In The World,pop,Ten,2004,-0.8,-0.5
1046,Raveshing Chaos,pop,Houwitser,1999,-0.2,0.7
1047,New York New York II,pop,Glassio,2018,0.7,0.9
1048,Chief of Sinners,pop,Second Thief,2015,-0.8,-0.5
1049,Hospital Cover,pop,Cavetown,2014,-0.7,0.3
1050,You Do Something To Me,pop,Doris Day,1957,0.2,1.0
1051,Whos Fooling Who,pop,Jakko Jakszyk,1984,-0.7,0.6
1052,Happy Xmas War Is Over,pop,Damian McGinty,2016,0.9,0.6
1053,Who I Am,pop,Leif Bent,2018,0.1,-0.7
1054,The Epitaph,pop,Ethel Cain,2018,0.1,-0.7
1055,Did My Time Live at CBGB,pop,Korn,2006,-0.6,0.7
1056,Were All Theme Parks,pop,Team Goldie,2008,-0.7,0.3
1057,California,pop,Anthony Russo,2017,0.6,-0.4
1058,With You,pop,Rosel Pomaney,2018,0.7,0.6
1059,Ray of Sunshine,pop,Lucinnio,2013,0.6,-0.4
1060,Return of the Roughnecks,pop,The Chameleons,1985,-0.3,-0.7
1061,Be Sure,pop,Karen Clark Sheard,2002,0.7,0.9
1062,Where There Was Darkness,pop,Diana Ross,1970,0.9,0.6
1063,Exiles,pop,Cruachan,2002,-0.8,-0.5
1064,Love Can Die,pop,Benighted in Sodom,2010,-0.8,-0.3
1065,Bel Air,pop,Old 97's,1995,0.1,-0.7
1066,Finally,pop,Beborn Beton,1994,-0.7,-0.3
1067,Better Love,pop,WESLEE,2018,-0.7,0.3
1068,Message In A Bottle S O S,pop,Indica Wave,2020,-0.7,0.3
1069,Silver Bells,pop,Carol Jane,2015,0.7,0.6
1070,Alarms,pop,Parrotfish,2019,-0.8,-0.1
1071,For You,pop,Paula Sophie Bode,2020,-0.8,-0.3
1072,Contordations,pop,Assorted Jelly Beans,1998,0.7,0.9
1073,​ilwy,pop,frocious,2021,-0.7,-0.3
1074,Malibu,pop,The Key of Awesome,2017,-0.7,-0.7
1075,Closer,pop,Mindy Smith,2012,0.8,-0.5
1076,Serious,pop,Anna Straker,2016,-0.3,-0.7
1077,​oblivion,pop,Coals,2020,0.8,-0.5
1078,Keeps Getting Better,pop,Josh Hoge,2008,0.9,-0.2
1079,Get My Shit Together,pop,johan lenox,2022,-0.3,-0.7
1080,Dont Think Twice Its Alright,pop,Nick Drake,2015,-0.7,-0.3
1081,Look At The Sign,pop,Liar Symphony,2015,0.9,0.2
1082,The First Time,pop,Loser (Rock),2006,0.7,0.9
1083,Requiem,pop,"Laura Dreyfuss, Michael Park & Jennifer Laura Thompson",2017,-0.6,0.7
1084,What Happened to the Night,pop,Sam Segurado,2017,-0.7,0.3
1085,Surrender,pop,The Hobos,1999,0.8,-0.5
1086,Ill Be Okay,pop,Amanda Marshall,1997,0.8,-0.5
1087,Never Have To Fall In Love Again,pop,Eleni Mandell,2012,-0.7,-0.3
1088,Lets Get Stoned,pop,Ron Pope,2017,0.3,0.7
1089,MOIST,pop,GESS,2015,0.7,0.9
1090,Goathorneds Revenge,pop,Azarath,2006,-0.6,0.7
1091,Could I Love You Any More,pop,Rene Dominique,2019,0.2,1.0
1092,Love In Motion,pop,Mayer Hawthorne,2012,0.7,0.9
1093,Send This To Your Crush,pop,Abbey Glover,2019,0.3,0.7
1094,Mafumafu まふまふ  - I want to be a Girl 女の子になりたい English Translation,pop,Genius English Translations,2019,-0.3,-0.7
1095,W.O.M.A.N,pop,Spice Girls,1999,0.7,0.6
1096,Great Southern Land,pop,Icehouse,1982,-0.7,-0.3
1097,Green Pastures In The Sky,pop,Ricky Skaggs,2009,0.6,-0.4
1098,애걔 FOR English Translation,pop,Genius English Translations,2018,-0.7,-0.3
1099,If Youd Ever Needed Someone,pop,Paul Carrack,1997,-0.8,-0.3
1200,Something in the Water,country,Pokey LaFarge,2015,0.7,0.9
1201,The Last Event,country,Matthew Ryan,2019,-0.8,-0.5
1202,Friends With The Enemy,country,Poor Man's Poison,2011,-0.8,-0.3
1203,Sleepin With the Radio On,country,Charly McClain,1981,-0.8,-0.3
1204,Riders in the Sky,country,Michael Martin Murphey,1993,-0.8,-0.5
1205,Close Your Eyes,country,Dan + Shay,2014,0.6,-0.4
1206,Taking A Chance On The Truth,country,The Infamous Stringdusters,2010,0.9,0.2
1207,Poor Mans Cocaine,country,Channing Wilson,2012,-0.6,0.5
1208,Its Been Done,country,The Oak Ridge Boys,1976,0.8,-0.5
1209,John Doe No. 24 Live - One Night Lonely,country,Mary Chapin Carpenter,2021,-0.7,-0.3
1210,In The Garden,country,Alan Jackson,2006,0.9,-0.2
1211,Stardust,country,Horseshoes & Hand Grenades,2020,-0.7,-0.3
1212,Big Mistake,country,Honeyhoney,2018,0.7,0.9
1213,Feels Like Country Music,country,Jon Wolfe,2019,0.6,-0.4
1214,The Elegant Impostor,country,"Bobby Bare, Jr.",2014,-0.3,-0.7
1215,Heart,country,Reba McEntire,1994,-0.7,-0.3
1216,Fire  Rain,country,Blake Henderson,2022,0.7,0.6
1217,Apes In A Daydream,country,Birdtalker,2021,-0.3,-0.7
1218,Andrew,country,Ezra Bell,2021,-0.8,-0.3
1219,Young Blood,country,Hunter Hayes,2016,0.3,0.7
1220,One of the Boys,country,9 to 5 Original Broadway Cast,2009,0.9,0.6
1221,One of Them Nights,country,Chris Young,2021,0.9,0.6
1222,Howdy,country,Chris Lane,2022,0.3,0.7
1223,Sugarland,country,Sugarland,2006,0.6,-0.4
1224,I Shall Wear A Crown,country,Gaither Vocal Band,1995,0.9,-0.2
1225,The Best of Me,country,Toad the Wet Sprocket,2021,0.8,-0.5
1226,Patches,country,George Jones & B.B. King,1994,-0.7,-0.3
1227,Little More You,country,Josh Abbott Band,2019,0.3,0.7
1228,Summercamp,country,The Infamous Stringdusters,2014,0.6,-0.4
1229,Chubby Chubby,country,Barry McGuire,1977,-0.8,-0.5
1230,She’s Out of My Life,country,Willie Nelson,1984,-0.8,-0.3
1231,Cowboys Dont Get Lucky All the Time,country,Gene Watson,1978,-0.3,-0.7
1232,Pontoon Boat,country,Sunny Ledfurd,2007,0.8,-0.5
1233,You Always Hurt The One You Love,country,Brenda Lee,1962,-0.7,-0.3
1234,Accidental Racist,country,Brad Paisley,2013,0.9,0.2
1235,Ten Years Of This,country,Gary Stewart,1977,-0.8,-0.1
1236,Twilight Time,country,Willie Nelson,1988,0.9,-0.2
1237,Famous Last Night Words,country,Sarahbeth Taite,2021,-0.7,-0.3
1238,Wonderful Tonight,country,Ronnie Dunn,2019,0.7,0.6
1239,Bible in a Drawer,country,The Scarring Party,2013,-0.7,-0.3
