index,title,tag,artist,year,x_coordinate,y_coordinate
660,M.S. Bismarck,rock,Asphyx,1992,,
661,The Waves,rock,Bjrn Riis,2017,,
662,Mile Away,rock,Allison Crutchfield,2017,,
663,Ode To Rose,rock,CODA FACTO,2021,,
664,Hampden Cabs,rock,The Dunts,2017,,
665,Faded Memory,rock,Skarlett Riot,2013,,
666,They Were Wrong,rock,The Dogs (Norway),2016,,
667,Rise With the Fallen Ones,rock,Cerberus (Band),2019,,
668,Tempo,rock,Ray Charles,2000,,
669,Placeholder,rock,Secondsun,2020,,
670,Frolic Room,rock,311,2006,,
671,Here Comes Sally,rock,Glen Burtnik,1987,,
672,Blue Hazy Highs,rock,Django Django,2018,,
673,Memory,rock,Pat Symington,2021,,
674,The Fall,rock,Gojira,2012,,
675,Smashing Pumpkins’s “Daydream”,rock,Mr. Mendola,2014,,
676,Honey White,rock,Morphine,1995,,
677,Communion with the Void,rock,Antediluvian,2012,,
678,Waiting For Tomorrow,rock,Urbanites,2018,,
679,Rise,rock,Neither/neither World,2003,,
680,Wanna luv u,rock,Superlove (UK),2022,,
681,Dont Get Funny with Me,rock,The Cramps,1991,,
682,Carry On,rock,Mezmerized,2020,,
683,Fat City,rock,Airbourne,2007,,
684,Didnt It Rain,rock,Louis Armstrong,1958,,
685,With A Girl Like You,rock,The Legend (rock band),2021,,
686,Dopey Joe,rock,The Velvet Underground,1973,,
687,Rooms,rock,Harvey Parker,2020,,
688,Rainbow,rock,Kim Mitchell,1995,,
689,The Rabbit Hole,rock,In This Moment,2008,,
690,Vampiretown,rock,Forrister,2013,,
691,Acquaintance,rock,Atlantic Wasteland,2019,,
692,Take On Me,rock,Jonas Brothers,2013,,
693,Forward,rock,Flatfoot 56,2017,,
694,Without You,rock,Mike Shupp,1997,,
695,First Impressions,rock,The Publics,2019,,
696,Execution,rock,Grave Digger (band),2010,,
697,Great Soul,rock,The Tragically Hip,2016,,
698,Lay By Me,rock,Firekid,2015,,
699,Warriors  Queens,rock,The Ninja (Band),1985,,
700,Smaller and Smaller,rock,Faith No More,1992,,
701,I Just Knew,rock,Andrew VanWyngarden,2014,,
702,Russian Winter,rock,London (Band),1990,,
703,Falling,rock,Waste Of Mind,2018,,
704,The Straight and the Narrow,rock,Spiritualized,2001,,
705,Cloak and Dagger,rock,Rory Gallagher,1978,,
706,Running,rock,Austin Stone Worship,2020,,
707,Swing by Swing,rock,Like Torches,2016,,
708,Shine On,rock,Impellitteri,2018,,
709,Wake Me,rock,Bleachers,2014,,
710,Chessman Red Monday,rock,Amputated Genitals,2005,,
711,Someone Special,rock,Fr Leo Watt & The Clefs,1971,,
712,Stoned in Saigon,rock,Fresh,1971,,
713,One More Chance,rock,Big Wreck,2019,,
714,Waster,rock,Max Bemis and the Painful Splits,2010,,
715,Halloween 18,rock,Early Eyes,2021,,
716,Up on High,rock,Daniel Rossen,2012,,
717,Showdown,rock,Boy & Bear,2015,,
718,Baby Please Dont Go,rock,AC/DC,1975,,
719,Mix Up Mix Up,rock,Bob Marley & The Wailers,1983,,
720,James K. Polk,rock,They Might Be Giants,1996,,
721,End In Fire,rock,Alphawolves,2018,,
722,What Are You Afraid Of?,rock,Emphatic,2019,,
723,Impious Plague in Catacombs,rock,Necrowretch,2013,,
724,Zordon,rock,Munky,2019,,
725,Ode To Sleep,rock,twenty one pilots,2011,,
726,High School Drama Violence,rock,Clay J Gladstone,2021,,
727,Good Life,rock,Ron Pope,2018,,
728,Rust,rock,Miss May I,2010,,
729,5 Reasons,rock,Meg & Dia,2009,,
730,Your Property,rock,Swans,1984,,
731,You Know You,rock,Agatha (Band),2015,,
732,Red War,rock,Soulfly,2015,,
733,In the City,rock,Big Boys,1980,,
734,Godless,rock,The Crown (Band),1995,,
735,Just Couldnt Say,rock,Tim Staffell,2003,,
736,10:00 AM,rock,State Champs,2020,,
737,Chorus and the Ring,rock,R.E.M.,2001,,
738,Changes,rock,Captain Marryat,1974,,
739,Walk On Water,rock,Nonpoint,2016,,
740,Psychosomaticism,rock,Kylie V,2018,,
741,Wheres Vince?,rock,The Smashing Pumpkins,2016,,
742,Dreams,rock,Country Joe and the Fish,1977,,
743,Sensory Overload,rock,Kuritarvitaja,2022,,
744,Double Helix,rock,Space Unicorn on Fire,2016,,
745,Sleeping Without a Pillow,rock,Ronoc 'N' Roll,2018,,
746,Restraint,rock,Mallcops,2020,,
747,Rending,rock,Lo-Ruhamah,2017,,
748,Juvenile,rock,Jonathan (HRV),2015,,
749,A View to a Kill,rock,Diablo (band),2006,,
750,Keep Nothing Hushed No No No,rock,Coley Mixan,2020,,
751,Hammered Demo,rock,Mtley Cre,1994,,
752,Bones,rock,Matt McAndrew,2016,,
753,Nostalgia,rock,Mild West,2019,,
754,Breakfast with the King,rock,Goatsnake,2020,,
755,Everybody Else But Me,rock,McKendrick,2000,,
756,Unsung Beauty,rock,I Declare War,2006,,
757,The Eagle of the Star,rock,Dwarrowdelf,2020,,
758,Distaste for Ordinary Scum,rock,Those Who Bring the Torture,2007,,
759,Sensation,rock,Animal Flag,2016,,
760,Impermanence Streakt Through Marble,rock,Falls of Rauros,2017,,
761,Story of an Immigrant Acoustic,rock,Civil Twilight,2016,,
762,Try to Believe,rock,Y&T,1997,,
763,Working Class Hero,rock,Jimmy Barnes,2019,,
764,Motorology,rock,Ozma,2007,,
765,Bliss,rock,Purple (Texas Music),2016,,
766,Dissolver,rock,Perennial,2017,,
767,This Christmas,rock,Majestica,2021,,
768,Savage,rock,Ben Khan,2014,,
769,Go Go Go,rock,Helena Arlock,2010,,
770,One More Heartache,rock,Marvin Gaye,1966,,
771,RISE,rock,I Prevail,2016,,
772,Saturday Night,rock,Cold Chisel,1984,,
773,No More Sorrow,rock,Linkin Park,2007,,
774,Come Home,rock,OneRepublic,2007,,
775,Holding on,rock,Lynx (1976),1976,,
776,S.M.D.,rock,Solstice (USA),1992,,
777,Alive,rock,Maggie Gently,2020,,
778,The Wronged,rock,Thrown into Exile,2020,,
779,Prelude,rock,Scary Kids Scaring Kids,2007,,
780,Resurrection Of Ancient Evil,rock,Ezurate,2007,,
781,Oh Woman,rock,Newcomers Club,2018,,
782,Penny Lane,rock,Aim High,2021,,
783,Serrated,rock,Eldest 11,2013,,
784,Clouds Over California,rock,DevilDriver,2007,,
785,Imminent War,rock,Hope for the Dying,2011,,
786,Anchored,rock,Ghost Brigade,2014,,
787,Sad people blue eyes,rock,Forever Unknown,2022,,
788,One of Those Things,rock,Sanctus Real,2013,,
789,Wax Rose Saturday,rock,Mux Mool,2010,,
790,Lenora,rock,Madam Macadam,2012,,
791,Crawling Back to You Alternate Version,rock,Tom Petty,2020,,
792,I Just Want to Love You,rock,Leave it Blank (band),2018,,
793,Montaigne,rock,Pinback,1999,,
794,Back Pages,rock,The Brandals,2021,,
795,Dont Forget Me,rock,Neil Diamond,2010,,
796,Riding with the King,rock,B.B. King & Eric Clapton,2000,,
797,Take Me to Yolita,rock,Robert Pollard,2015,,
798,Holly Golightly,rock,Frnois and The Atlas Mountains,2021,,
799,Problems,rock,Local Violence,2021,,
800,Six Feet Under,rock,Cloverdale,2018,,
900,Pilot Of The Storm,pop,The Poodles,2009,,
901,Gorgeous,pop,ICE (USA),2015,,
902,The Worst Is yet To Come,pop,Slut,2021,,
903,Last of the Ghetto Astronauts,pop,Matthew Good Band,2015,,
904,Deep Inside My Heart,pop,Jamie Rivera,2003,,
905,She Lives By Night,pop,Nunslaughter,2003,,
906,Silver Felt,pop,Loch Lomond,2016,,
907,Broken Wing,pop,Evil,2021,,
908,Creature Of Night,pop,Zombie Girl,2007,,
909,​i need to say goodbye.,pop,Mive,2021,,
910,Every inch of you,pop,Outshyne,2012,,
911,Ill Be Turning To You,pop,Kieran Kane,2015,,
912,One Small Chance,pop,Big Mountain,1999,,
913,Automata,pop,KOGARASHI,2019,,
914,Hall of Death,pop,"Matt Sweeney & Bonnie ""Prince"" Billy",2021,,
915,The Life feat. Hussein Fatal Caddillac Tah  James Gotti,pop,Ja Rule,2015,,
916,Spin The Record,pop,Melodi Brown,2002,,
917,Not A Love Song,pop,Ida Corr,2017,,
918,The Greatest RedTop Remix,pop,Michelle Williams,2008,,
919,Im Yours,pop,Acoustic Sound Section,2015,,
920,Come on Baby,pop,Jimmy Reed,2015,,
921,Summer Days in Bloom,pop,Maximilian Hecker,2007,,
922,SOMEDAY,pop,YOG$,2021,,
923,Thank You for All Your Loving,pop,Elton John,1968,,
924,Explain,pop,Adi Lukovac & Ornamenti,2015,,
925,Remedy,pop,NBT CLEVER,2021,,
926,Oh My Goodness,pop,The Lynns,1998,,
927,Never To Fall,pop,Svartahrid,2000,,
928,Wanna Go,pop,push baby,2020,,
929,Testament,pop,MRM (UK),2020,,
930,Climbing,pop,Naomi Cowan,2020,,
931,To Be Loved Schillerschule Remix,pop,Whitney Tai,2015,,
932,Too Late,pop,Aston Merrygold,2016,,
933,Gardens,pop,Tidus Duffer,2019,,
934,Puttin in Work,pop,Bone Crusher,2003,,
935,No Child Left Behind,pop,Adolescents,2011,,
936,Dont Believe the Good News,pop,Archers of Loaf,1995,,
937,Mercy,pop,Sarah McLachlan,1991,,
938,I Need You So,pop,LSU,1989,,
939,Drugs N alcohol URLUVISLIKADRUG,pop,ATRA$HAD,2021,,
940,Not Gonna Bow,pop,Russ Taff,1985,,
941,Beautiful,pop,KIDZ BOP Kids,2003,,
942,True Love Will Find You In The End Cover,pop,Fond Memory Vacation,2021,,
943,Valerie,pop,Vaughan Penn,2015,,
944,You are the reason,pop,CAPSULE,2007,,
945,Put Me in the Picture,pop,Jump5,2002,,
946,Love by Way of Hollywood,pop,From Aphony,2005,,
947,Always Been Mine,pop,"Love, Alexa",2021,,
948,Take Off Ur Pants,pop,Indigo De Souza,2018,,
949,Lost,pop,Aesthetic Pleasure,2018,,
950,Love You Now Love You Later,pop,Ben Kessler,2021,,
951,Mr Speaker Gets The World,pop,Madness,2015,,
952,Catherine Wheel,pop,Wild Beasts,2011,,
953,Mayday,pop,JP Thornewell,2018,,
954,Brand New,pop,Kim Sturre,2019,,
955,Nobodys Fault But Mine,pop,Tom Jones,2010,,
956,The Watermark High,pop,Elliott,1998,,
957,Damned If I Do Ya Damned If I Dont Live From MTV Unplugged,pop,All Time Low,2010,,
958,Love Yourself Cover,pop,Dua Lipa,2016,,
959,Safari,pop,Sui Zhen,2015,,
960,​love nwantiti German Frizzo Remix,pop,CKay,2020,,
961,Please,pop,Rian,2019,,
962,Nine Summers Lost,pop,Harry Manx,2009,,
963,Do You Kow What I Mean,pop,Lee Michaels,2015,,
964,Always The Same,pop,Dog Eat Dog,1999,,
965,Still Not Home,pop,Tift Merritt,2012,,
966,Church Of Disgust,pop,Nunslaughter,2003,,
967,Accidental Happiness,pop,Ida Maria,2014,,
968,Hear It From You,pop,The Clarks,2015,,
969,Stop The Music Is Over,pop,Lutha,2015,,
970,Call It Quits,pop,The Ziggens,2015,,
971,Long Shot Acoustic Mix,pop,Antigone Rising,1999,,
972,Runner,pop,Corneliia,2018,,
973,Dont Wanna Lose You,pop,Risin' Black Hole,2013,,
974,Alien Unplugged,pop,Your Favorite Martian,2012,,
975,I Dont Know How to Love You,pop,Delanie,2020,,
976,Demon Of Destruction Agares,pop,Besatt,2015,,
977,Nex Season,pop,King Django,2001,,
978,Beni Accident,pop,Pistolita,2006,,
979,Krule Love,pop,Julian Lamadrid,2016,,
980,Cest La Vie,pop,Magnum (Band),1988,,
981,Little Girl Blue,pop,Carly Simon,1990,,
982,An Attempt To Forget,pop,Backseat Goodbye,2008,,
983,Chosen,pop,Sidewalk Prophets,2020,,
984,Listen,pop,Haley Reinhart,2016,,
985,Ghost,pop,Jeremiah Neil,2019,,
986,Wake Up Acoustic Version,pop,Sullivan King,2019,,
987,I Cant Wait,pop,E.G. Daily,1999,,
988,Save Tonight,pop,The Harvard Opportunes,2015,,
989,Ever Seen This English Version,pop,Aceyalone & RJD2,2010,,
990,Like Spinning Plates,pop,Bella Ruse,2011,,
991,Summer All Year,pop,ECH,2020,,
992,Smog,pop,Moev,1990,,
993,Nearness,pop,Mark Barlow,2021,,
994,Diamonds,pop,Miss Mango,2014,,
995,Dont Know How to Behave,pop,Michi (Los Angeles),2020,,
996,Insecure,pop,Clover The Girl,2019,,
997,The weight,pop,Uncle Kracker,2015,,
998,Never Was Alright,pop,Dan and Drum,2019,,
999,The Seasons in Between,pop,Enik,2006,,
1000,Hello Trouble,pop,Desert Rose Band,1988,,
1001,Strange Fruit,pop,The Twilight Singers,2004,,
1002,ZERO FIVE STARS,pop,COUCOU CHLOE,2021,,
1003,Dementia,pop,Undercroft,2000,,
1004,Love Is,pop,Roger Daltrey,1992,,
1005,Til the Morning Sun Shines on My Love and Me,pop,Chris Rea,2005,,
1006,Before The Dawn,pop,Centinex,1997,,
1007,The Ballad Of Henry Darger,pop,Natalie Merchant,2015,,
1008,Walk On Stars,pop,Angels & Agony,2007,,
1009,Written All Over Your Face,pop,Glenn Hughes,2003,,
1010,The Cold Wild Yonder,pop,Oliver Boyd and the Remembralls,2016,,
1011,Psalm 63,pop,Robbie Seay Band,2013,,
1012,Everybodys Had the Blues,pop,Dean Martin,1983,,
1013,Rave Machine,pop,Oliver Heldens,2020,,
1014,I Exalt Thee,pop,Phil Driscoll,1998,,
1015,One the Planes,pop,Jandek,1986,,
1016,Ronnies Samba,pop,Matt Bianco,2004,,
1017,Make The Best,pop,Chris Murray,2002,,
1018,What I Needed,pop,Dark Dark Dark,2013,,
1019,Cereal Song Live,pop,The Blank Minds,2018,,
1020,The Void,pop,Nine Lashes,2012,,
1021,Sadness,pop,Paradox,2000,,
1022,Were All Falling Apart,pop,OCTAVIO the Dweeb,2021,,
1023,Searching,pop,Lowes,2018,,
1024,Slipknot,pop,Poor Old Lu,1995,,
1025,This Time,pop,NvMe,2021,,
1026,Once Upon A Time,pop,Brandon Coleman (Bay Area),2014,,
1027,Indigo,pop,Lottie,2021,,
1028,Only In My Mind,pop,Imperative Reaction,2006,,
1029,God Knows,pop,Nico Santos,2018,,
1030,I Have Known Love,pop,Silver Apples,1969,,
1031,Reflection,pop,Lil Animus,2011,,
1032,The Chosen Ones,pop,Hasse Froberg And Musical Companion,2015,,
1033,No Good,pop,Perfume Genius,2014,,
1034,I Need More Time,pop,LoganPlayz,2018,,
1035,Morning star,pop,Jimi Hunydread,2020,,
1036,Damage Is Done,pop,Wet,2015,,
1037,She Left,pop,C-Tec,2000,,
1038,Violence Rezz Remix,pop,Grimes & i_o,2021,,
1039,Bob Dylans 115th Dream,pop,Asobi Seksu,2010,,
1040,Flowers of Youth,pop,Cynthia Alexander,2015,,
1041,Special,pop,Disally,2018,,
1042,If You Ask Me I Wont Say No,pop,Pete Shelley,1983,,
1043,Awaken The Monster,pop,Gaia Epicus,2007,,
1044,You Look Rly Cute,pop,awfultune,2019,,
1045,Evils On Top In The World,pop,Ten,2004,,
1046,Raveshing Chaos,pop,Houwitser,1999,,
1047,New York New York II,pop,Glassio,2018,,
1048,Chief of Sinners,pop,Second Thief,2015,,
1049,Hospital Cover,pop,Cavetown,2014,,
1050,You Do Something To Me,pop,Doris Day,1957,,
1051,Whos Fooling Who,pop,Jakko Jakszyk,1984,,
1052,Happy Xmas War Is Over,pop,Damian McGinty,2016,,
1053,Who I Am,pop,Leif Bent,2018,,
1054,The Epitaph,pop,Ethel Cain,2018,,
1055,Did My Time Live at CBGB,pop,Korn,2006,,
1056,Were All Theme Parks,pop,Team Goldie,2008,,
1057,California,pop,Anthony Russo,2017,,
1058,With You,pop,Rosel Pomaney,2018,,
1059,Ray of Sunshine,pop,Lucinnio,2013,,
1060,Return of the Roughnecks,pop,The Chameleons,1985,,
1061,Be Sure,pop,Karen Clark Sheard,2002,,
1062,Where There Was Darkness,pop,Diana Ross,1970,,
1063,Exiles,pop,Cruachan,2002,,
1064,Love Can Die,pop,Benighted in Sodom,2010,,
1065,Bel Air,pop,Old 97's,1995,,
1066,Finally,pop,Beborn Beton,1994,,
1067,Better Love,pop,WESLEE,2018,,
1068,Message In A Bottle S O S,pop,Indica Wave,2020,,
1069,Silver Bells,pop,Carol Jane,2015,,
1070,Alarms,pop,Parrotfish,2019,,
1071,For You,pop,Paula Sophie Bode,2020,,
1072,Contordations,pop,Assorted Jelly Beans,1998,,
1073,​ilwy,pop,frocious,2021,,
1074,Malibu,pop,The Key of Awesome,2017,,
1075,Closer,pop,Mindy Smith,2012,,
1076,Serious,pop,Anna Straker,2016,,
1077,​oblivion,pop,Coals,2020,,
1078,Keeps Getting Better,pop,Josh Hoge,2008,,
1079,Get My Shit Together,pop,johan lenox,2022,,
1080,Dont Think Twice Its Alright,pop,Nick Drake,2015,,
1081,Look At The Sign,pop,Liar Symphony,2015,,
1082,The First Time,pop,Loser (Rock),2006,,
1083,Requiem,pop,"Laura Dreyfuss, Michael Park & Jennifer Laura Thompson",2017,,
1084,What Happened to the Night,pop,Sam Segurado,2017,,
1085,Surrender,pop,The Hobos,1999,,
1086,Ill Be Okay,pop,Amanda Marshall,1997,,
1087,Never Have To Fall In Love Again,pop,Eleni Mandell,2012,,
1088,Lets Get Stoned,pop,Ron Pope,2017,,
1089,MOIST,pop,GESS,2015,,
1090,Goathorneds Revenge,pop,Azarath,2006,,
1091,Could I Love You Any More,pop,Rene Dominique,2019,,
1092,Love In Motion,pop,Mayer Hawthorne,2012,,
1093,Send This To Your Crush,pop,Abbey Glover,2019,,
1094,Mafumafu まふまふ  - I want to be a Girl 女の子になりたい English Translation,pop,Genius English Translations,2019,,
1095,W.O.M.A.N,pop,Spice Girls,1999,,
1096,Great Southern Land,pop,Icehouse,1982,,
1097,Green Pastures In The Sky,pop,Ricky Skaggs,2009,,
1098,애걔 FOR English Translation,pop,Genius English Translations,2018,,
1099,If Youd Ever Needed Someone,pop,Paul Carrack,1997,,
1100,Lovers Leap,pop,Creeper Lagoon,2001,,
1200,Something in the Water,country,Pokey LaFarge,2015,,
1201,The Last Event,country,Matthew Ryan,2019,,
1202,Friends With The Enemy,country,Poor Man's Poison,2011,,
1203,Sleepin With the Radio On,country,Charly McClain,1981,,
1204,Riders in the Sky,country,Michael Martin Murphey,1993,,
1205,Close Your Eyes,country,Dan + Shay,2014,,
1206,Taking A Chance On The Truth,country,The Infamous Stringdusters,2010,,
1207,Poor Mans Cocaine,country,Channing Wilson,2012,,
1208,Its Been Done,country,The Oak Ridge Boys,1976,,
1209,John Doe No. 24 Live - One Night Lonely,country,Mary Chapin Carpenter,2021,,
1210,In The Garden,country,Alan Jackson,2006,,
1211,Stardust,country,Horseshoes & Hand Grenades,2020,,
1212,Big Mistake,country,Honeyhoney,2018,,
1213,Feels Like Country Music,country,Jon Wolfe,2019,,
1214,The Elegant Impostor,country,"Bobby Bare, Jr.",2014,,
1215,Heart,country,Reba McEntire,1994,,
1216,Fire  Rain,country,Blake Henderson,2022,,
1217,Apes In A Daydream,country,Birdtalker,2021,,
1218,Andrew,country,Ezra Bell,2021,,
1219,Young Blood,country,Hunter Hayes,2016,,
1220,One of the Boys,country,9 to 5 Original Broadway Cast,2009,,
1221,One of Them Nights,country,Chris Young,2021,,
1222,Howdy,country,Chris Lane,2022,,
1223,Sugarland,country,Sugarland,2006,,
1224,I Shall Wear A Crown,country,Gaither Vocal Band,1995,,
1225,The Best of Me,country,Toad the Wet Sprocket,2021,,
1226,Patches,country,George Jones & B.B. King,1994,,
1227,Little More You,country,Josh Abbott Band,2019,,
1228,Summercamp,country,The Infamous Stringdusters,2014,,
1229,Chubby Chubby,country,Barry McGuire,1977,,
1230,She’s Out of My Life,country,Willie Nelson,1984,,
1231,Cowboys Dont Get Lucky All the Time,country,Gene Watson,1978,,
1232,Pontoon Boat,country,Sunny Ledfurd,2007,,
1233,You Always Hurt The One You Love,country,Brenda Lee,1962,,
1234,Accidental Racist,country,Brad Paisley,2013,,
1235,Ten Years Of This,country,Gary Stewart,1977,,
1236,Twilight Time,country,Willie Nelson,1988,,
1237,Famous Last Night Words,country,Sarahbeth Taite,2021,,
1238,Wonderful Tonight,country,Ronnie Dunn,2019,,
1239,Bible in a Drawer,country,The Scarring Party,2013,,
1240,Talk About the Good Times,country,Elvis Presley,1974,,
1241,Ill Be Your Fool,country,Joe Ely,1978,,
1242,I Dont Hurt Anymore,country,Martina McBride,2005,,
1243,Time Burns On,country,Yarn,2010,,
1244,This Land Is Your Land,country,Wanda Jackson,1969,,
1245,The Lady Came From Baltimore,country,Johnny Cash,1975,,
1246,Amys Eyes,country,Charley Pride,1989,,
1247,Big Truck,country,Dillon Carmichael,2021,,
1248,Long Live The Night,country,The Reklaws,2018,,
1249,Hell of a Woman,country,Nick Santino & the Northern Wind,2013,,
1250,Storm Prayer re 3 songs,country,DEEP FEMME,2017,,
1251,It Started All Over Again,country,Vern Gosdin,1977,,
1252,Snoky Mountain Memories,country,Mel Street,2022,,
1253,I Think I  Might,country,RiFF RAFF,2019,,
1254,Stars,country,Alison Krauss & Union Station,2001,,
1255,Bubbas Blues,country,My Bubba,2019,,
1256,Some Sweet Rainy Day,country,Sloppy Henry,1929,,
1257,Loves Raining Down,country,Deer Creek Boys,2017,,
1258,Til I Kissed You,country,Anne Murray,2002,,
1259,Playing After Dark,country,Peggy Sue (Country),1970,,
1260,Come Early Mornin,country,Buddy Miller,2016,,
1261,You Cant Make This Up,country,Blake Shelton,2016,,
1262,Coal Black Heart,country,Annie Bosko,2015,,
1263,Song of the Bandit,country,Marty Robbins,1960,,
1264,Silent Night,country,Gloriana,2009,,
1265,The Graceland Horses,country,Jim Lauderdale,2019,,
1266,Backwoods Barbie,country,Dolly Parton,2008,,
1267,Send Me No Roses,country,Tommy Overstreet,1973,,
1268,When Its My Time,country,Rodney Atkins,2009,,
1269,Into the After,country,Horace Pinker,2011,,
1270,Someone Before Me,country,Loretta Lynn,1966,,
1271,Pale Fire,country,Amanda Shires,2016,,
1272,She Aint Going Nowhere,country,Steve Earle,2019,,
1273,Ill Be Your Man,country,Thomas Mac,2017,,
1274,The Prisoners Song,country,Vernon Dalhart,1924,,
1275,Good Old Days,country,JB And The Moonshine Band,2010,,
1276,Everybody Dies,country,The Goddamn Gallows,2007,,
1277,Not Enough Love to Go Round,country,Conway Twitty,1987,,
1278,Come Find Me,country,Alabama,2015,,
1279,Death,country,NQ Arbuckle,2014,,
1280,It Comes And Goes,country,Johnny Cash,1978,,
1281,Oh Id Like To Go Away,country,The Everly Brothers,1991,,
1282,The Most Sensible Thing,country,Angry Grandpa,2015,,
1283,Silvertown Blues,country,Mark Knopfler,2000,,
1284,I Know A Wall When I See One,country,Toby Keith,1999,,
1285,Oklahoma Sunshine,country,Waylon Jennings,1974,,
1286,The Mighty Quinn,country,Ian & Sylvia,1968,,
1287,Love Birds,country,Gwen Sebastian,2020,,
1288,Your Cheatin Heart,country,Beck,2001,,
1289,Sunshine Overtime,country,Chris Young,2015,,
1290,Til It Wasnt,country,Chris Ruediger,2021,,
1291,That’s how much I love you,country,Jean wolf,2021,,
1292,There Is a Peace,country,Barry McGuire,1977,,
1293,The Grand Tour,country,Jackson Ward,2015,,
1294,North of Cheyenne,country,Town Mountain,2018,,
1295,To Have You Stay,country,Jana Kramer,2017,,
1296,Im Throwing Rice,country,Jerry Lee Lewis,1970,,
1297,Finding Efe,country,Johnny Drille,2019,,
1298,Flexin,country,Jackie Chan,2019,,
1299,Black Mass,country,The eXcavators,2015,,
1300,I Just Couldnt Say No,country,Alabama,1997,,
1301,You Are My Sunshine,country,Zach Bryan,2022,,
1302,Rolling in the Dew,country,Shirley Collins,2020,,
1303,Friends With Low Platelets,country,ZDoggMD,2014,,
1304,So Shadows Never Run,country,Amy Blaschke,2017,,
1305,You Are,country,Dolly Parton,1977,,
1306,Cry Myself to Sleep,country,Tami Neilson,2009,,
1307,City Lights,country,Rick Trevino,1998,,
1308,If My Heart Had a Heart,country,Cassadee Pope,2019,,
1309,We’ll Always Have Each Other,country,Kenny Rogers,1958,,
1310,LAST WORDS,country,MBL CLAN,2022,,
1311,All the Other Roses Acoustic Version,country,Jayna Jennings,2019,,
1312,A Different Kind Of Sad,country,Buck Owens,1977,,
1313,Thanks To Uncle John,country,Merle Haggard,2000,,
1314,Songs About,country,Lindi Ortega,2013,,
1315,Twice As Blue,country,Goldie Hill,1960,,
1316,Under the Sun,country,Ruston Kelly,2020,,
1317,All Alone In This World Without You,country,Eddy Arnold,2005,,
1318,Weapon of Time,country,Redd Alexander,2020,,
1319,Caught It from the Rye,country,Tr Burt,2020,,
1320,Different Now,country,Andy Gullahorn,2018,,
1321,I Thought You Were The One,country,Emma White,2017,,
1322,Son Of A Son Of A Sailor Live,country,Jimmy Buffett,1978,,
1323,Keys To The Kingdom,country,Abigail Washburn And The Sparrow Quartet,2006,,
1324,Pick Me Up On Your Way Down,country,Charlie Walker,1958,,
1325,The beginning of me,country,Yentl,2017,,
1326,Loving Me Lonely,country,Martin McDaniels,2018,,
1327,Musta Had a Good Time,country,Parmalee,2012,,
1328,Ride,country,Seasick Steve,2016,,
1329,Sweet Shadow Man,country,Lavender Country,2022,,
1330,Old Friends,country,Willie Nelson & Roger Miller,1982,,
1331,Hunger Pains,country,Confederate Railroad,1994,,
1332,Sylvias Mother,country,Bobby Bare,2015,,
1333,Graveyard Blues,country,Michael Jerome Browne,2011,,
1334,Theres A Bottle Where She Used To Be,country,Carl Smith,2015,,
1335,Keeping It Small Town,country,Jason Aldean,2019,,
1336,Love Hangover,country,Emerson Drive,2012,,
1337,The Pain of Loving You,country,Lula Wiles,2019,,
1338,Losing Hand Live 2011,country,Willie Nelson & Wynton Marsalis,2011,,
1339,Leavin The Land Of The Broken Hearted,country,BlackHawk,2002,,
1340,Drinkin Buddies,country,Logan Mize,2017,,
1341,Nightingale,country,Wilder Adkins,2013,,
1342,Feed Our Soul,country,Justin Russell Band,2021,,
1343,Bold Reynard,country,Ben Moss,2022,,
1344,Born To Love You RISE Recording,country,LANCO,2019,,
1345,Vinyl,country,George Canyon,2019,,
1346,Do You Still Have Some Fight In You,country,Kyle Morgan,2021,,
1347,Served Cold,country,Van Susans,2013,,
1348,Wonderfilled,country,Kacey Musgraves,2013,,
1349,Certain,country,Bill Anderson,1966,,
1350,Hard Day,country,The Dead South,2017,,
1351,Circles,country,Jana Kramer,2015,,
1352,Meet Me by the Moonlight Alone,country,The Carter Family,1993,,
1353,Silver and Gold,country,Little Big Town,2014,,
1354,Frosty the Snowman,country,Brenn Hill,2012,,
1355,Theres More to Leaving Than Just Saying Goodbye,country,Loretta Lynn,1973,,
1356,Why Dont Anybody Stay Home No More,country,Margaret Lewis,1980,,
1357,Shes That Kind,country,Charley Pride,1972,,
1358,Settin The Woods On Fire,country,The Tractors,1994,,
1359,Lies,country,Amber Lynn Nicol,2011,,
1360,Bangladesh,country,Kids Learning Tube,2018,,
1361,Will You Miss Me When Im Gone?,country,The Carter Family,1993,,
1362,Slow Dancing in a Burning Room,country,Lindsay Ell,2018,,
1363,I Dont Wanna Go To Heaven Choir Version,country,Nate Smith (Country),2022,,
1364,Sin na sin Tommy Maverick cover,country,Mon Lee,2017,,
1365,The Wheel Of Hurt,country,Bill Anderson,1967,,
1366,Silent Night,country,Reba McEntire,1987,,
1367,You Didnt Have To Go,country,Jimmy C. Newman,2020,,
1368,Blue Hills In The Distance,country,Slim Dusty,2004,,
1369,Leaving for Ohio,country,The Miners,2021,,
1370,How Not To,country,Dan + Shay,2016,,
1371,Marie’s Wedding,country,The Clancy Brothers & Tommy Makem,1963,,
